,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
246,Xylan Mono,6,comm10_rep1.0,0.011007861,0.030043645,0.010698469,0.002947371,0.081891322,0.006220419,0.002410005,0.005894742,0.002279735,0.006106432
247,Xylan Mono,6,comm10_rep2.0,0.011491417,0.031302202,0.009446433,0.00255623,0.08346092,0.005484276,0.001731265,0.005751518,0.001847457,0.00572828
248,Xylan Mono,0,SubCommC75,0,0.002142857,0,0.002142857,0.002142857,0.002142857,0.002142857,0.002142857,0.002142857,0
249,Xylan Mono,24,SubCommC75_rep0.0,0,0.021179961,0,0.062519161,0.821042454,0.039297758,0.000765541,0.279039603,0.009058899,0
250,Xylan Mono,24,SubCommC75_rep1.0,0,0.01216987,0,0.051924779,0.930009874,0.00428843,0.000463614,0.22334609,0.005331562,0
251,Xylan Mono,24,SubCommC75_rep2.0,0,0.016486105,0,0.047010596,0.93272479,0.019221791,0.000503942,0.225478083,0.008926974,0
252,Xylan Mono,0,SubCommB28,0.003,0.003,0,0,0.003,0.003,0,0,0,0.003
253,Xylan Mono,24,SubCommB28_rep0.0,0.021350339,0.113461802,0,0,0.780202389,0.869873813,0,0,0,0.074421182
254,Xylan Mono,24,SubCommB28_rep1.0,0.039599819,0.135547205,0,0,1.162794674,0.481771707,0,0,0,0.062921451
255,Xylan Mono,24,SubCommB28_rep2.0,0.04485277,0.12556007,0,0,1.190951803,0.466662621,0,0,0,0.041530343
256,Xylan Mono,0,SubCommB66,0.00375,0.00375,0.00375,0,0,0,0,0,0.00375,0
257,Xylan Mono,24,SubCommB66_rep0.0,0.159519942,0.955313766,0.143026182,0,0,0,0,0,0.216224767,0
258,Xylan Mono,24,SubCommB66_rep1.0,0.073939,1.239339186,0.077990452,0,0,0,0,0,0.111820077,0
259,Xylan Mono,24,SubCommB66_rep2.0,0.15549467,0.878154371,0.185599574,0,0,0,0,0,0.269950107,0
260,Xylan Mono,0,SubCommC77,0.001875,0.001875,0.001875,0.001875,0.001875,0,0,0.001875,0.001875,0.001875
